mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
13130,f96db0af-5e25-42d1-a07a-49b4e065b364,16393,00-0033280,11763,4034,44820,3117251,30121,NA,2136743,McCaCh01,christian-mccaffrey-1,11690,12198,283,30121,830517,18877,830517,Christian McCaffrey,christian mccaffrey,RB,SFO,1996-06-07,30.1,2017,1,8,8,NA,71,210,Stanford,2026
13133,e601812f-ce24-4e99-bee0-e33c1e9014e4,16423,00-0033526,11869,4147,44927,3116389,30227,NA,2131148,PeriSa00,samaje-perine-1,11698,12255,785,30227,820734,18993,820734,Samaje Perine,samaje perine,RB,CIN,1995-09-16,30.8,2017,4,7,114,NA,71,240,Oklahoma,2026
13246,8809c0dd-786b-4255-a7d0-333c9498c19a,16579,00-0033217,12078,4054,2558832,2998565,30112,NA,2815925,AlieMo00,NA,12196,12221,NA,30112,712506,18900,712506,Mo Alie-Cox,mo alie-cox,TE,IND,1993-09-19,32.8,2017,NA,NA,NA,NA,77,267,Virginia Commonwealth,2026
13319,27dd5b6e-ea65-4622-a6b4-460fd144407c,16673,00-0033293,11937,4199,44995,3042519,30295,NA,2071937,JoneAa00,aaron-jones-6,11763,12388,301,30295,741314,19045,741314,Aaron Jones,aaron jones,RB,MIN,1994-12-02,31.6,2017,5,38,182,NA,70,208,UTEP,2026
12625,bef8b2b4-78bd-4a4d-bb5d-6b55ada9ef6a,15498,00-0033045,10638,3164,43293,3051392,29238,NA,2060769,ElliEz00,ezekiel-elliott-1,10736,11265,NA,29238,728338,17923,728338,Ezekiel Elliott,ezekiel elliott,RB,FA,1995-07-22,30.9,2016,1,4,4,EzekielElliott,72,225,Ohio State,2026
12626,87c481c7-7414-43cc-82df-19ca0c2ae22e,15514,00-0032764,10679,3198,43334,3043078,29279,NA,2061188,HenrDe00,derrick-henry-2,10819,11238,296,29279,732145,17959,732145,Derrick Henry,derrick henry,RB,BAL,1994-01-04,32.5,2016,2,14,45,KingHenry_2,74,252,Alabama,2026
12677,90c2a93f-d837-4e1b-b57c-56648903a8db,15581,00-0032392,10715,3202,43370,3043275,29315,NA,2067004,HoopAu00,austin-hooper-1,10748,11301,NA,29315,739424,17963,739424,Austin Hooper,austin hooper,TE,ATL,1994-10-29,31.7,2016,3,18,81,AustinHooper18,76,254,Stanford,2026
12678,0df7912d-9e81-47ea-b4f7-d04986df4ee8,15623,00-0033110,10744,3271,43399,2573401,29344,NA,1853103,HigbTy00,tyler-higbee-1,10854,11430,159,29344,604176,18032,604176,Tyler Higbee,tyler higbee,TE,LAR,1993-01-01,33.5,2016,4,12,110,Ty_Higs19,78,255,Western Kentucky,2026
12151,0f8ccece-d663-4069-944b-f318f64c60b7,13903,00-0032144,9448,2320,2552469,2576434,28403,NA,1871347,GordMe00,melvin-gordon-1,10064,10284,NA,28403,606516,16776,606516,Melvin Gordon,melvin gordon,RB,FA,1993-04-13,32.8,2015,1,15,15,Melvingordon25,73,215,Wisconsin,2026
12155,c5e430c5-7a8e-4e29-b30f-1a527f05cb89,13924,00-0032104,9487,2359,42397,2576336,28442,NA,1824308,AbduAm00,ameer-abdullah-1,10126,10338,NA,28442,590796,16815,590796,Ameer Abdullah,ameer abdullah,RB,JAC,1993-06-13,33.1,2015,2,22,54,Ameerguapo,69,203,Nebraska,2026
12263,14c97c9f-26e8-4944-9299-f90de6aeada3,14104,00-0031610,9637,2505,42547,2576925,28592,NA,1850793,WallDa01,darren-waller-1,10215,10433,NA,28592,600191,16964,600191,Darren Waller,darren waller,TE,FA,1992-09-13,33.8,2015,6,28,204,NA,78,238,Georgia Tech,2026
12309,f22b34cf-6ecf-4522-9c77-1da275dfda7d,13964,00-0031585,9576,2446,42486,2508256,28531,NA,1760327,PruiMy00,NA,10251,10522,NA,28531,552586,16903,552586,MyCole Pruitt,mycole pruitt,TE,FA,1992-03-24,33.9,2015,5,7,143,flyyCole_x4,74,258,Southern Illinois,2026
11644,9f026fc0-4449-4dc5-a226-2e2830619381,12092,00-0031280,8671,2028,2543499,16757,27564,NA,1664819,CarrDe02,derek-carr-1,9317,9349,NA,27564,496083,16311,496083,Derek Carr,derek carr,QB,FA,1991-03-28,35.3,2014,2,4,36,derekcarrqb,75,215,Fresno State,2026
11647,b24625a0-d402-4d59-a778-aa4b073bfe5e,12095,00-0031260,8755,2251,2543767,16813,27648,NA,1691193,ThomLo00,logan-thomas-1,9323,9354,NA,27648,507528,16656,507528,Logan Thomas,logan thomas,TE,FA,1991-07-01,34.6,2014,4,20,120,LoganThomasSr_6,78,250,Virginia Tech,2026
11674,b6b954eb-4591-4b7a-86b9-a481f15fdd58,12122,00-0031236,8655,2197,2543498,16731,27548,NA,1880880,CookBr00,brandin-cooks-1,9260,9404,NA,27548,607864,16568,607864,Brandin Cooks,brandin cooks,WR,BUF,1993-09-25,32.8,2014,1,20,20,brandincooks,70,193,Oregon State,2026
11675,e7d6ae25-bf15-4660-8b37-c37716551de3,12123,00-0031381,8688,2133,2543495,16800,27581,NA,1893167,AdamDa01,davante-adams-1,9455,9273,277,27581,611417,16470,611417,Davante Adams,davante adams,WR,LAR,1992-12-24,33.5,2014,2,21,53,tae15adams,73,215,Fresno State,2026
11679,354dec38-b88b-4ba0-8974-859123f27c45,12127,00-0031235,8647,2078,2543496,16733,27540,NA,1824823,BeckOd00,odell-beckham-jr-1,9255,9403,NA,27540,589984,16389,589984,Odell Beckham,odell beckham,WR,NYG,1992-11-05,33.7,2014,1,12,12,OBJ_3,71,200,LSU,2026
11938,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,13429,00-0030035,8288,1689,40488,16460,27277,NA,2059362,ThieAd00,NA,8986,9054,NA,27277,733643,15534,733643,Adam Thielen,adam thielen,WR,FA,1990-08-22,35.9,2014,NA,NA,NA,NA,74,195,Minnesota State-Mankato,2026
11150,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,11687,00-0030565,7820,1373,2539335,15864,26662,NA,1700358,SmitGe00,geno-smith-1,8743,8326,671,26662,513856,14895,513856,Geno Smith,geno smith,QB,NYJ,1990-10-10,35.7,2013,2,7,39,GenoSmith_12,75,221,West Virginia,2026
11151,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,11686,00-0030533,7880,1338,2539308,15948,26721,NA,1664140,BarkMa00,matt-barkley-1,8004,7421,NA,26721,494493,14855,494493,Matt Barkley,matt barkley,QB,FA,1990-09-08,35.4,2013,4,1,98,MattBarkley,74,227,USC,2026
11228,618bedee-9259-4536-b0ff-fec98d2a20de,11610,00-0030431,7822,1352,2540169,15880,26664,NA,1754280,WoodRo02,robert-woods-1,8628,8407,NA,26664,555693,14871,555693,Robert Woods,robert woods,WR,FA,1992-04-10,33.8,2013,2,9,41,robertwoods,72,190,USC,2026
11232,5c48ade7-4b9a-4757-9643-87a6e3839e2b,11606,00-0030564,7808,1426,2540165,15795,26650,NA,1737078,HopkDe00,deandre-hopkins-1,8619,8404,NA,26650,560241,14986,560241,DeAndre Hopkins,deandre hopkins,WR,FA,1992-06-06,34.1,2013,1,27,27,Nukdabomb,73,210,Clemson,2026
11244,c3859e06-5f23-4302-a71b-04820a899d5f,11594,00-0030506,7844,1466,2540258,15847,26686,NA,1725130,KelcTr00,travis-kelce-1,8783,8411,264,26686,448240,15048,448240,Travis Kelce,travis kelce,TE,KCC,1989-10-05,36.7,2013,3,1,63,NA,77,250,Cincinnati,2026
11390,540f8b30-900e-4d17-8756-c262ba5fa039,11821,00-0030513,7962,1476,2541161,15920,26804,NA,1637004,MurrLa00,latavius-murray-1,8772,8585,NA,26804,467405,15071,467405,Latavius Murray,latavius murray,RB,FA,1990-01-18,36.1,2013,6,13,181,LataviusM,75,230,UCF,2026
10697,5812204c-6dae-4450-8011-99e0f72864ac,11174,00-0029701,7014,1049,2532956,14876,25718,8514,1273654,TannRy00,ryan-tannehill-1,8040,7417,NA,25718,380960,13799,380960,Ryan Tannehill,ryan tannehill,QB,FA,1988-07-27,37.5,2012,1,8,8,ryantannehill1,76,217,Texas A&M,2026
10932,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,11410,00-0029239,7469,1034,2532797,15478,26389,9114,1632301,BoldBr00,NA,8077,8119,NA,26389,465752,13741,465752,Brandon Bolden,brandon bolden,RB,FA,1990-01-26,35.1,2012,NA,NA,NA,BB_HulkSmash,71,220,Mississippi,2026
10271,0b3217b9-ba37-4222-95cb-a7a222441e8b,9867,00-0027944,6158,947,2495454,13982,24793,7372,1623794,JoneJu02,julio-jones-1,7242,6475,NA,24793,456614,13291,456614,Julio Jones,julio jones,WR,FA,1989-02-08,37,2011,1,6,6,juliojones_11,75,220,Alabama,2026
10413,7f3ef024-eb34-46af-8b9e-544cdf09378f,10007,00-0028118,6332,827,2495240,14163,24967,7592,1243338,TaylTy00,tyrod-taylor-1,7357,6509,NA,24967,399579,12831,399579,Tyrod Taylor,tyrod taylor,QB,GBP,1989-08-03,36.9,2011,6,15,180,TyrodTaylor,73,217,Virginia Tech,2026
9431,ade43b1a-0601-4672-83b6-d246bc066a19,9451,00-0026498,4924,421,79860,12483,9265,6038,1114942,StafMa00,matthew-stafford-1,5971,5132,356,9265,323205,9038,323205,Matthew Stafford,matthew stafford,QB,LAR,1988-02-07,38.4,2009,1,1,1,Staff_9,75,214,Georgia,2026
9064,64797df2-efd3-4b27-86ee-1d48f7edb09f,9300,00-0026158,4332,19,NA,11252,8795,NA,1250697,FlacJo00,joe-flacco-1,5648,4677,722,8795,216342,611,216342,Joe Flacco,joe flacco,QB,CIN,1985-01-16,41.5,2008,1,18,18,TeamFlacco,78,245,Delaware,2026
