player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0030506,T.Kelce,Travis Kelce,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2023,17,REG,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,16,0,0,0,14,5,1,-0.824743577653466,0,1.14285714285714,0.142857142857143,0.089171974522293,0.276706096451319,0,1.6,4.6
00-0032764,D.Henry,Derrick Henry,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m7bv3lv9puapabltvykk",TEN,2023,17,REG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,12,42,0,0,0,2,-2.22625876043458,0,0,1,0,0,0,0,2,0,0,-0.747530420543626,0,0,0.04,0.0113636363636364,0.0679545454545455,0,4.2,4.2
00-0033280,C.McCaffrey,Christian McCaffrey,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/umiv5sn2xxrjdjwjtkqm",SF,2023,17,REG,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,14,64,0,0,0,5,1.65002699531033,0,4,5,27,0,0,0,9,22,3,0.298422969208332,0,3,0.185185185185185,0.0489130434782609,0.31201690821256,0,9.1,13.1
00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",CLE,2023,17,REG,NYJ,19,29,309,3,1,1,8,1,0,179,184,9,6.19757390895393,0,1.72625698324022,0.152895164640911,2,3,0,1,0,1,-0.574932696472388,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,22.66,22.66
00-0029239,B.Bolden,Brandon Bolden,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",LV,2023,17,REG,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,6,0,0,0,1,1.10410434327787,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.6,0.6
00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",PHI,2023,17,REG,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,2,34,2,0,0,28,6,2,5.88691586611094,0,1.21428571428571,0.0869565217391304,0.124444444444444,0.217545893719807,0,15.4,17.4
00-0031260,L.Thomas,Logan Thomas,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/acm0ymhqdzqxdibwjphv",WAS,2023,17,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,20,0,0,0,23,6,0,0.00656709212273698,0,0.869565217391304,0.153846153846154,0.157534246575342,0.34104320337197,0,2,5
00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",LA,2023,17,REG,NYG,24,34,317,1,2,4,31,0,0,198,235,14,0.899996616935823,0,1.6010101010101,0.071461133859484,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,12.58,12.58
00-0030513,L.Murray,Latavius Murray,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",BUF,2023,17,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,0,0,0,0,0,-1.78565846057609,0,0,1,0,0,0,0,3,0,0,-0.882818461628631,0,0,0.0357142857142857,0.00903614457831325,0.0598967297762478,0,0,0
00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2023,17,REG,JAX,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,6,38,0,0,0,19,19,1,3.93507291586138,0,2,0.193548387096774,0.0769230769230769,0.344168734491315,0,3.8,9.8
00-0031585,M.Pruitt,MyCole Pruitt,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jazo8egu5luwyxxcpjh8",ATL,2023,17,REG,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,14,0,0,0,14,0,1,2.60440923564602,0,1,0.03125,0.0421686746987952,0.0763930722891566,0,1.4,2.4
00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",NYG,2023,17,REG,LA,27,41,319,1,1,6,35,0,0,332,147,8,-2.06172927996879,0,0.960843373493976,0.0324287815283031,6,40,0,1,0,2,-2.10826739369077,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,18.76,18.76
00-0032104,A.Abdullah,Ameer Abdullah,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/atwi5p12mlgnsl4y8cgt",LV,2023,17,REG,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,4,0,0,0,0,-0.139590135542676,0,1,1,18,0,0,0,2,16,1,3.30923235544469,0,9,0.0217391304347826,0.00491400491400491,0.0360484990919774,0,2.2,3.2
00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2023,17,REG,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,4,58,0,0,0,30,28,3,3.81795440067071,0,1.93333333333333,0.129032258064516,0.196078431372549,0.330803289057559,0,5.8,9.8
00-0031610,D.Waller,Darren Waller,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqzht46a66zbi9xyylf4",NYG,2023,17,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,6,51,0,0,0,41,29,2,3.56664409278892,0,1.24390243902439,0.153846153846154,0.127329192546584,0.319899665551839,0,5.1,10.1
00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,17,REG,HOU,16,20,168,0,0,5,40,0,0,74,105,6,-2.4355689408453,0,2.27027027027027,0.0956619460531443,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.72,6.72
00-0032144,M.Gordon,Melvin Gordon,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i4g8x7yotpgszlyanow0",BAL,2023,17,REG,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,6,10,1,0,0,1,1.23529627604876,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7,7
00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/viymeohipdn0voptrkzh",TEN,2023,17,REG,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,7,7,72,0,0,0,45,27,3,7.67772763162295,0,1.6,0.28,0.255681818181818,0.598977272727273,0,7.2,14.2
00-0032392,A.Hooper,Austin Hooper,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hj0ybtjspne3t1cso961",LV,2023,17,REG,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,28,0,0,0,9,19,2,2.44486320525175,0,3.11111111111111,0.0652173913043478,0.0221130221130221,0.113305202435637,0,2.8,5.8
00-0030533,M.Barkley,Matt Barkley,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ejvscebj0ufugx5vrouq",JAX,2023,17,REG,CAR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,-3,0,0,0,0,-4.01201612025034,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.3,-0.3
00-0033045,E.Elliott,Ezekiel Elliott,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd",NE,2023,17,REG,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,14,39,1,0,0,2,-2.35171419696417,0,1,2,6,0,0,0,-2,4,0,-0.178239187691361,0,-3,0.0833333333333333,-0.0101522842639594,0.117893401015228,0,10.5,11.5
00-0031235,O.Beckham,Odell Beckham,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ffmalg3wr7lwnsz59i7v",BAL,2023,17,REG,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,33,0,0,0,33,0,1,3.2418616777868,0,1,0.0454545454545455,0.132530120481928,0.160952902519168,0,3.3,4.3
00-0033110,T.Higbee,Tyler Higbee,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vk9c6lr4d1pdt9sr86ua",LA,2023,17,REG,NYG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,7,62,0,0,0,12,55,5,3.78383560391376,0,5.16666666666667,0.205882352941176,0.0606060606060606,0.351247771836007,0,6.2,12.2
00-0030565,G.Smith,Geno Smith,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf",SEA,2023,17,REG,PIT,23,33,290,1,0,1,9,1,1,225,131,13,7.22391538214695,0,1.28888888888889,0.176209195261495,3,33,0,0,0,1,0.755146692565177,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,16.9,16.9
00-0033293,A.Jones,Aaron Jones,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",GB,2023,17,REG,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,20,120,0,0,0,6,4.89772471381002,0,1,1,10,0,0,0,-5,15,1,1.38573647360317,0,-2,0.0294117647058824,-0.0140056022408964,0.0343137254901961,0,13,14
00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",DAL,2023,17,REG,DET,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,8,60,1,0,0,171,2,4,3.56322564691072,0,0.350877192982456,0.216216216216216,0.439588688946015,0.632036406586535,0,12,17
00-0033217,M.Alie-Cox,Mo Alie-Cox,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f4orwwthvtcyd3vfqjvs",IND,2023,17,REG,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,18,0,0,0,11,11,1,-0.643335199682042,0,1.63636363636364,0.15,0.06875,0.273125,0,1.8,3.8
00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",NO,2023,17,REG,TB,24,32,197,2,0,1,6,0,0,165,101,12,9.24769499474273,0,1.19393939393939,0.172786955032071,3,-3,0,0,0,0,-1.39463156869169,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.58,15.58
00-0033526,S.Perine,Samaje Perine,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/liorwdmj8gelxh5u7rc4",DEN,2023,17,REG,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,10,0,0,0,1,-0.930262542446144,0,2,2,16,0,0,0,-1,17,2,0.595566359406803,0,-16,0.0666666666666667,-0.0045662100456621,0.0968036529680365,0,2.6,4.6
00-0031381,D.Adams,Davante Adams,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jweoujpjv9u2a8k7wnos",LV,2023,17,REG,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,13,21,126,2,0,0,224,13,9,5.61369027688734,0,0.5625,0.456521739130435,0.55036855036855,1.07004059395364,0,24.6,37.6
